target,elemID,permission,layout_width,layout_height,textColor,text,textSize,src_image_text,background_image_text
1,LLNavBuy,ACCESS_COARSE_LOCATION,wrap_content,wrap_content,@color/Gray,@string/navigation_buy,11.0sp,$,
0,lv_sch_search_list,INTERNET,fill_parent,wrap_content,,,,,
0,map_view,ACCESS_COARSE_LOCATION,fill_parent,fill_parent,,,,,
1,btnAddMember,WRITE_EXTERNAL_STORAGE,fill_parent,wrap_content,@color/Black,@string/add_member,,,
1,wrap_filter_1,RECORD_AUDIO,0.0dip,wrap_content,@color/white,@string/lightning_filter_c_to_g,16.0dip,,
0,tvProgrammeName,INTERNET,wrap_content,wrap_content,@color/Black,,16.0sp,,
0,btn_region_haze_map_type_2,READ_CALENDAR,wrap_content,wrap_content,@color/light_green,@string/region_wind_on,16.0dip,,
0,btn_close_category_activity,BLUETOOTH,fill_parent,wrap_content,@color/white,Done,,,
0,ll_bus,INTERNET,45.0dip,45.0dip,,,,,
1,et_search1,ACCESS_COARSE_LOCATION,fill_parent,@dimen/text_field_height,@android:color/black,,@dimen/search_text_size,,
0,img_btn_info_sq,WRITE_EXTERNAL_STORAGE,44.0dip,44.0dip,,,,0,
0,tv_covid_phpc_phone,ACCESS_COARSE_LOCATION,fill_parent,fill_parent,@color/normal_text_color,,17.0dip,,
1,btnDelete,WRITE_EXTERNAL_STORAGE,wrap_content,wrap_content,@color/white,@string/delete,16.0dip,,
0,ll_drive,INTERNET,47.0dip,47.0dip,,,,,
0,btnAskJamie,CAMERA,fill_parent,wrap_content,@color/white,@string/side_menu_ask_jamie,@dimen/sidemenu_title,,
1,btnhist,READ_PHONE_STATE,0.0dip,84.0dip,,SCAN HISTORY,,,
0,LLNavFacilities,ACCESS_COARSE_LOCATION,wrap_content,wrap_content,@color/Gray,@string/ssc_facilities,11.0sp,100,
1,tb_landownership,READ_PHONE_STATE,fill_parent,44.0dip,@color/landownership_text,View Land Ownership,18.0dip,,
0,linearBaseIW,BLUETOOTH,,,,,,,
0,iv_locate_me,ACCESS_COARSE_LOCATION,wrap_content,wrap_content,,,,,
